sample_id,start_time,Tin,Tout,C,H,W,interval_minutes,input_times_json,target_times_json
1,2026-01-23 18:00:00,5,3,1,352,512,6,"[""2026-01-23 18:00:00"", ""2026-01-23 18:06:00"", ""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00""]","[""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00""]"
2,2026-01-23 18:06:00,5,3,1,352,512,6,"[""2026-01-23 18:06:00"", ""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00""]","[""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00""]"
3,2026-01-23 18:12:00,5,3,1,352,512,6,"[""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00""]","[""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00""]"
4,2026-01-23 18:18:00,5,3,1,352,512,6,"[""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00""]","[""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00""]"
5,2026-01-23 18:24:00,5,3,1,352,512,6,"[""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00""]","[""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00""]"
6,2026-01-23 18:30:00,5,3,1,352,512,6,"[""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00""]","[""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00""]"
7,2026-01-23 18:36:00,5,3,1,352,512,6,"[""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00""]","[""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00""]"
8,2026-01-23 18:42:00,5,3,1,352,512,6,"[""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00""]","[""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00""]"
9,2026-01-23 18:48:00,5,3,1,352,512,6,"[""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00""]","[""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00""]"
10,2026-01-23 18:54:00,5,3,1,352,512,6,"[""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00""]","[""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00""]"
11,2026-01-23 19:00:00,5,3,1,352,512,6,"[""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00""]","[""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00""]"
12,2026-01-23 19:06:00,5,3,1,352,512,6,"[""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00""]","[""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00""]"
13,2026-01-23 19:12:00,5,3,1,352,512,6,"[""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00""]","[""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00""]"
14,2026-01-23 19:18:00,5,3,1,352,512,6,"[""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00""]","[""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00""]"
15,2026-01-23 19:24:00,5,3,1,352,512,6,"[""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00""]","[""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00""]"
16,2026-01-23 19:30:00,5,3,1,352,512,6,"[""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00""]","[""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00""]"
17,2026-01-23 19:36:00,5,3,1,352,512,6,"[""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00""]","[""2026-01-23 20:06:00"", ""2026-01-23 20:12:00"", ""2026-01-23 20:18:00""]"
18,2026-01-23 19:42:00,5,3,1,352,512,6,"[""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00""]","[""2026-01-23 20:12:00"", ""2026-01-23 20:18:00"", ""2026-01-23 20:24:00""]"
19,2026-01-23 19:48:00,5,3,1,352,512,6,"[""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00""]","[""2026-01-23 20:18:00"", ""2026-01-23 20:24:00"", ""2026-01-23 20:30:00""]"
20,2026-01-23 19:54:00,5,3,1,352,512,6,"[""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00"", ""2026-01-23 20:18:00""]","[""2026-01-23 20:24:00"", ""2026-01-23 20:30:00"", ""2026-01-23 20:36:00""]"
