frame_id,timestamp,split,raw_relative_path,standardized_relative_path,shape,dtype,value_min,value_max,center_code,product_code,lat_min,lat_max,lon_min,lon_max
0,2026-01-23 18:00:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.33000645,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
1,2026-01-23 18:06:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.40192381,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
2,2026-01-23 18:12:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.48073795,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
3,2026-01-23 18:18:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.48257178,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
4,2026-01-23 18:24:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.48257178,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
5,2026-01-23 18:30:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.46683696,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
6,2026-01-23 18:36:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.46742395,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
7,2026-01-23 18:42:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.46973991,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
8,2026-01-23 18:48:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.46759555,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
9,2026-01-23 18:54:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47860071,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
10,2026-01-23 19:00:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47455913,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
11,2026-01-23 19:06:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47455913,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
12,2026-01-23 19:12:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.48176542,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
13,2026-01-23 19:18:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.46720651,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
14,2026-01-23 19:24:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47047544,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
15,2026-01-23 19:30:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.49011067,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
16,2026-01-23 19:36:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.49011067,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
17,2026-01-23 19:42:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.44970787,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
18,2026-01-23 19:48:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.34825096,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
19,2026-01-23 19:54:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.45029083,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
20,2026-01-23 20:00:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47957563,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
21,2026-01-23 20:06:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47473097,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
22,2026-01-23 20:12:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.48475888,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
23,2026-01-23 20:18:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.47945079,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
24,2026-01-23 20:24:00,train,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.png,frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.npy,1x352x512,float32,0.00000000,0.45750916,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
