previous_time,current_time,gap_seconds,gap_minutes
2026-01-27 02:54:00,2026-01-27 03:06:00,720,12.0
2026-01-30 04:42:00,2026-01-30 05:00:00,1080,18.0
2026-01-30 05:06:00,2026-01-30 05:18:00,720,12.0
2026-01-31 01:12:00,2026-01-31 01:54:00,2520,42.0
2026-01-31 01:54:00,2026-01-31 02:06:00,720,12.0
2026-01-31 02:48:00,2026-01-31 03:00:00,720,12.0
2026-01-31 04:48:00,2026-01-31 05:06:00,1080,18.0
2026-02-04 08:06:00,2026-02-04 08:18:00,720,12.0
2026-02-04 08:18:00,2026-02-04 08:30:00,720,12.0
2026-02-04 09:00:00,2026-02-04 09:18:00,1080,18.0
2026-02-04 12:06:00,2026-02-04 12:18:00,720,12.0
2026-02-08 20:00:00,2026-02-08 22:36:00,9360,156.0
2026-02-09 16:06:00,2026-02-09 16:18:00,720,12.0
