frame_id,filename,relative_path,timestamp,split,segment_id,center_code,product_code,lat_min,lat_max,lon_min,lon_max,width,height,mode
0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png,2026-01-23 18:00:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
1,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png,2026-01-23 18:06:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
2,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png,2026-01-23 18:12:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
3,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png,2026-01-23 18:18:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
4,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png,2026-01-23 18:24:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
5,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png,2026-01-23 18:30:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
6,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png,2026-01-23 18:36:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
7,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png,2026-01-23 18:42:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
8,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png,2026-01-23 18:48:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
9,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png,2026-01-23 18:54:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
10,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png,2026-01-23 19:00:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
11,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png,2026-01-23 19:06:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
12,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png,2026-01-23 19:12:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
13,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png,2026-01-23 19:18:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
14,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png,2026-01-23 19:24:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
15,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.png,2026-01-23 19:30:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
16,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.png,2026-01-23 19:36:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
17,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.png,2026-01-23 19:42:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
18,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.png,2026-01-23 19:48:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
19,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.png,2026-01-23 19:54:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
20,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.png,2026-01-23 20:00:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
21,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.png,2026-01-23 20:06:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
22,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.png,2026-01-23 20:12:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
23,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.png,2026-01-23 20:18:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
24,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.png,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.png,2026-01-23 20:24:00,train,0,BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0,3100,2100,RGBA
