sample_id,split,segment_id,start_time,end_time,input_rel_paths_json,target_rel_paths_json,input_times_json,target_times_json,center_code,product_code,lat_min,lat_max,lon_min,lon_max
S000000,train,0,2026-01-23 18:00:00,2026-01-23 18:42:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:00:00"", ""2026-01-23 18:06:00"", ""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00""]","[""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000001,train,0,2026-01-23 18:06:00,2026-01-23 18:48:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:06:00"", ""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00""]","[""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000002,train,0,2026-01-23 18:12:00,2026-01-23 18:54:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:12:00"", ""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00""]","[""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000003,train,0,2026-01-23 18:18:00,2026-01-23 19:00:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:18:00"", ""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00""]","[""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000004,train,0,2026-01-23 18:24:00,2026-01-23 19:06:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:24:00"", ""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00""]","[""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000005,train,0,2026-01-23 18:30:00,2026-01-23 19:12:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:30:00"", ""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00""]","[""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000006,train,0,2026-01-23 18:36:00,2026-01-23 19:18:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:36:00"", ""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00""]","[""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000007,train,0,2026-01-23 18:42:00,2026-01-23 19:24:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:42:00"", ""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00""]","[""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000008,train,0,2026-01-23 18:48:00,2026-01-23 19:30:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:48:00"", ""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00""]","[""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000009,train,0,2026-01-23 18:54:00,2026-01-23 19:36:00,"[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.png""]","[""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.png"", ""Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.png""]","[""2026-01-23 18:54:00"", ""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00""]","[""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
