frame_id,timestamp,path,split,segment_id,filename,center_code,product_code,standardized_path
0,2026-01-23 18:00:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180000_12.2_54.2_73.0_135.0.png
1,2026-01-23 18:06:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123180600_12.2_54.2_73.0_135.0.png
2,2026-01-23 18:12:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181200_12.2_54.2_73.0_135.0.png
3,2026-01-23 18:18:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123181800_12.2_54.2_73.0_135.0.png
4,2026-01-23 18:24:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123182400_12.2_54.2_73.0_135.0.png
5,2026-01-23 18:30:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183000_12.2_54.2_73.0_135.0.png
6,2026-01-23 18:36:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123183600_12.2_54.2_73.0_135.0.png
7,2026-01-23 18:42:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184200_12.2_54.2_73.0_135.0.png
8,2026-01-23 18:48:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123184800_12.2_54.2_73.0_135.0.png
9,2026-01-23 18:54:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123185400_12.2_54.2_73.0_135.0.png
10,2026-01-23 19:00:00,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png,train,0,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png,BABJ,ACHN_CREF000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.png
