epoch,mse
1,0.03377552720485255
2,0.003973417857196182
3,0.0011185553921677638
4,0.0003126355913991574
5,0.00020797761590074515
6,0.0001695004057182814
7,0.00014553898381564068
8,0.0001296197601732274
9,0.00011642857998594991
10,0.00010559402653598227
11,9.734669265526463e-05
12,8.862651429808466e-05
13,8.093087581073632e-05
14,7.358878247032408e-05
15,6.860220128146466e-05
16,6.460172039624013e-05
17,6.239479807845782e-05
18,5.92015637721488e-05
19,5.727662983190385e-05
20,5.66800883916585e-05
21,5.405357660492882e-05
22,5.365180118133139e-05
23,5.098082283438998e-05
24,4.99028990361694e-05
25,5.022892310080351e-05
26,4.787145257978409e-05
27,4.8377534994870075e-05
28,4.678596474150254e-05
29,4.653106725527323e-05
30,4.4402304411050864e-05
31,4.349695245764451e-05
32,4.346849209468928e-05
33,4.1956436916734674e-05
34,4.142505054005596e-05
35,4.153727741140756e-05
36,4.109435599275457e-05
37,3.980646329182491e-05
38,3.9561561607115436e-05
39,3.875926722685108e-05
40,3.921236816495366e-05
