epoch,mse
1,0.006786642235965701
2,0.0003778196050916449
3,0.00011713451385730878
4,6.216485553522944e-05
5,5.448118054118822e-05
6,5.303565876602079e-05
7,5.273713236420008e-05
8,5.265465802040126e-05
9,5.261116234578367e-05
10,5.2571993137462414e-05
11,5.253334074950544e-05
12,5.2494588771878625e-05
13,5.24493814282323e-05
14,5.240363884695398e-05
15,5.2351112572068814e-05
16,5.229044927546056e-05
17,5.222387926551164e-05
18,5.21502188348677e-05
19,5.2065860018046806e-05
20,5.195800463297928e-05
21,5.1832477993229986e-05
22,5.1675058330147294e-05
23,5.148507784724643e-05
24,5.122436959936749e-05
25,5.086189389658102e-05
26,5.0385222607474134e-05
27,4.9651575977804896e-05
28,4.862324067289592e-05
29,4.701753982772061e-05
30,4.457472255126049e-05
31,4.1202659531336394e-05
32,3.768145427329728e-05
33,3.38810737048334e-05
34,3.169767023791792e-05
35,3.0418793926401122e-05
36,2.9798763534927275e-05
37,2.94244343876926e-05
38,2.9205901114437438e-05
39,2.9024701575508516e-05
40,2.8852162927250902e-05
